title,sort_option,imdb_id,category,listOrder
Academy Award for Best Cinematography,Release Date (Descending),tt0058385,Academy Awards,61
Academy Award for Best Cinematography,Release Date (Descending),tt0057163,Academy Awards,60
Academy Award for Best Cinematography,Release Date (Descending),tt0056937,Academy Awards,59
Academy Award for Best Cinematography,Release Date (Descending),tt0056197,Academy Awards,58
Academy Award for Best Cinematography,Release Date (Descending),tt0056172,Academy Awards,57
Academy Award for Best Cinematography,Release Date (Descending),tt0054997,Academy Awards,56
Academy Award for Best Cinematography,Release Date (Descending),tt0055614,Academy Awards,55
Academy Award for Best Cinematography,Release Date (Descending),tt0054326,Academy Awards,54
Academy Award for Best Cinematography,Release Date (Descending),tt0054331,Academy Awards,53
Academy Award for Best Cinematography,Release Date (Descending),tt0052738,Academy Awards,52
Academy Award for Best Cinematography,Release Date (Descending),tt0052618,Academy Awards,51
Academy Award for Best Cinematography,Release Date (Descending),tt0051525,Academy Awards,50
Academy Award for Best Cinematography,Release Date (Descending),tt0051658,Academy Awards,49
Academy Award for Best Cinematography,Release Date (Descending),tt0050212,Academy Awards,48
Academy Award for Best Cinematography,Release Date (Descending),tt0049778,Academy Awards,47
Academy Award for Best Cinematography,Release Date (Descending),tt0048960,Academy Awards,46
Academy Award for Best Cinematography,Release Date (Descending),tt0048563,Academy Awards,45
Academy Award for Best Cinematography,Release Date (Descending),tt0048728,Academy Awards,44
Academy Award for Best Cinematography,Release Date (Descending),tt0047296,Academy Awards,43
Academy Award for Best Cinematography,Release Date (Descending),tt0047580,Academy Awards,42
Academy Award for Best Cinematography,Release Date (Descending),tt0045793,Academy Awards,41
Academy Award for Best Cinematography,Release Date (Descending),tt0046303,Academy Awards,40
Academy Award for Best Cinematography,Release Date (Descending),tt0044391,Academy Awards,39
Academy Award for Best Cinematography,Release Date (Descending),tt0045061,Academy Awards,38
Academy Award for Best Cinematography,Release Date (Descending),tt0043924,Academy Awards,37
Academy Award for Best Cinematography,Release Date (Descending),tt0043278,Academy Awards,36
Academy Award for Best Cinematography,Release Date (Descending),tt0041959,Academy Awards,35
Academy Award for Best Cinematography,Release Date (Descending),tt0042646,Academy Awards,34
Academy Award for Best Cinematography,Release Date (Descending),tt0041163,Academy Awards,33
Academy Award for Best Cinematography,Release Date (Descending),tt0041866,Academy Awards,32
Academy Award for Best Cinematography,Release Date (Descending),tt0040636,Academy Awards,31
Academy Award for Best Cinematography,Release Date (Descending),tt0040491,Academy Awards,30
Academy Award for Best Cinematography,Release Date (Descending),tt0038574,Academy Awards,29
Academy Award for Best Cinematography,Release Date (Descending),tt0039192,Academy Awards,28
Academy Award for Best Cinematography,Release Date (Descending),tt0038303,Academy Awards,27
Academy Award for Best Cinematography,Release Date (Descending),tt0039111,Academy Awards,26
Academy Award for Best Cinematography,Release Date (Descending),tt0037988,Academy Awards,25
Academy Award for Best Cinematography,Release Date (Descending),tt0037865,Academy Awards,24
Academy Award for Best Cinematography,Release Date (Descending),tt0037008,Academy Awards,23
Academy Award for Best Cinematography,Release Date (Descending),tt0037465,Academy Awards,22
Academy Award for Best Cinematography,Release Date (Descending),tt0036377,Academy Awards,21
Academy Award for Best Cinematography,Release Date (Descending),tt0036261,Academy Awards,20
Academy Award for Best Cinematography,Release Date (Descending),tt0035093,Academy Awards,19
Academy Award for Best Cinematography,Release Date (Descending),tt0034522,Academy Awards,18
Academy Award for Best Cinematography,Release Date (Descending),tt0033729,Academy Awards,17
