title,sort_option,imdb_id,category
Academy Award for Best Cinematography,Release Date (Descending),tt0059113,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0057831,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0058385,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0057163,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0056937,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0056197,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0056172,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0054997,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0055614,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0054326,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0054331,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0052738,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0052618,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0051525,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0051658,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0050212,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0049778,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0048960,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0048563,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0048728,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0047296,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0047580,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0045793,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0046303,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0044391,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0045061,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0043924,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0043278,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0041959,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0042646,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0041163,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0041866,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0040636,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0040491,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0038574,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0039192,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0038303,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0039111,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0037988,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0037865,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0037008,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0037465,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0036377,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0036261,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0035093,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0034522,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0033729,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0033405,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0032976,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0033152,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0032145,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0031381,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0030202,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0028944,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0027300,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0026714,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0024991,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0022879,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0023458,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0022458,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0020594,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0019574,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0018455,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt14230458,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt9114286,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt3228774,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt10514222,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt3281548,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt1825683,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt5776858,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt3183660,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt1392190,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt2278388,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt1343092,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt1781769,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt1655442,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt1014759,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0962736,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0864761,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0414055,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0422720,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0397535,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0338751,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0167260,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0299658,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0203009,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0172495,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0151568,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0138097,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0120338,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0116209,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0114272,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0109045,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0106226,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0103874,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0101516,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0099334,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0097499,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0094947,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0093389,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0091867,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0089881,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0086879,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0083922,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0083987,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0082158,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0080009,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0078754,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0077413,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0076759,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0074291,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0072684,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0071577,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0070735,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0069404,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0067483,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0065593,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0064030,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0063518,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0061439,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0061184,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0060665,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0059084,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0059113,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0058404,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0058385,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0056801,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0056937,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0056687,Academy Awards
